"","coords.x1","coords.x2","collection_no"
"113",-30.6831016522983,-59.7646190055351,174392
"114",-29.2457894519675,-62.6053527849661,174422
"115",-30.1003211405653,-60.3277297019481,174454
"116",-28.5312565366802,-60.7641913945257,174622
"117",-28.5571480988391,-61.9435472621218,174626
"118",-28.1913222257185,-60.615800396546,174666
"119",-28.2040402139309,-61.9705789641465,174717
"120",-24.6148996910279,-63.5903498497913,174734
"121",-28.5955951592712,-61.4176472526386,174736
"122",-28.6818050925067,-61.26074133891,175331
"123",75.5986392033484,42.5690935078778,175554
"124",74.745997638331,43.0116491768069,175556
"125",-28.3043582150047,-60.2288861003741,175565
"126",-28.6070328583881,-61.4914848841419,175566
"127",13.263282562248,-54.4747052616739,176291
"128",13.263282562248,-54.4747052616739,176292
"129",-30.7200286276847,-59.8127573145192,176307
"130",-28.2193013518201,-62.0067043283445,176308
"131",-27.6215810012567,-61.2488241896219,176309
"132",-28.6183128329851,-62.4107579940196,176310
"133",-28.803811465329,-62.0543346861065,176311
"134",-27.6272431362989,-61.2529161518865,176313
"135",9.96392312049574,-54.8396449917135,176315
"136",-28.1018792815907,-62.2048788711037,176331
"137",-28.6250343558607,-61.725686598772,176339
"138",-28.9924718558984,-61.1252104923176,176357
"139",-28.9924718558984,-61.1252104923176,176358
"140",-28.9084137858817,-61.9036798680611,176501
"141",-28.6124408590732,-62.0352891216635,176504
"142",-29.0390204711033,-62.6545065870482,176830
"143",-26.9375120277629,-61.6042144583483,176916
"144",-28.818707315445,-62.0677558235535,176919
"145",-28.8796353747329,-61.1432617603137,176923
"146",-28.5633793531774,-61.5122521717939,177008
"147",-28.5664555706446,-63.4472452630434,177544
"148",-28.3622607724315,-63.8839284925622,177585
"149",-28.6720091839058,-61.690159297442,177587
"150",-27.7554252839869,-62.1752216858951,177606
"151",-28.3123571668722,-64.0182728566784,178053
"152",-28.5652915810016,-63.8802738376943,178105
"153",-27.9249523988635,-64.872954539611,178109
