collection_no,lng,lat,n_occs,early_interval,late_interval,max_ma,min_ma,cc,formation,stratgroup,member,zone,lithology1,environment,collection_size
120248,173.154633,-41.41341,1,Changhsingian,,254.17,252.17,NZ,Stephens,,,Aperispirifer nelsonensis,not reported,marine indet.,
120250,174.701096,-38.328442,3,Otamitan,,221.5,212,NZ,,,,,siltstone,marine indet.,
120252,168.70256,-46.02187,1,Carnian,,237,228,NZ,,,,,siltstone,marine indet.,
120253,168.163712,-45.831341,2,Otamitan,,221.5,212,NZ,,,,,sandstone,marine indet.,
120254,169.795761,-46.452251,1,Carnian,,237,228,NZ,,,,,sandstone,marine indet.,
120255,173.049301,-41.444519,2,Oretian,,227.5,221.5,NZ,Garden,,,,sandstone,marine indet.,
120296,16.6,78.305,7,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120297,15.93,78.57,1,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120298,18.059999,78.25,2,Smithian,,251.3,247.2,SJ,Kongressfjellet,,Sticky Keep,,"""shale""",marine indet.,
120303,16.209999,77.029999,2,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120304,15.61,78.519997,3,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120305,16.51,78.300003,2,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120306,14.43,78.620003,4,Spathian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120308,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120309,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120310,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120311,-118.059998,38.138,2,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120312,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120313,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120314,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120315,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120316,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120317,-118.059998,38.138,1,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120318,-118.059998,38.138,2,Dienerian,,252.17,251.3,US,Candelaria,,,,"""shale""",offshore,
120365,15.3,78.550003,2,Spathian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120366,15.32,78.57,16,Smithian,,251.3,247.2,SJ,Kongressfjellet,,Sticky Keep,,"""shale""",marine indet.,
120367,16.610001,78.330002,9,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120369,16.6,78.305,1,Ladinian,,242,237,SJ,,,,,"""siliciclastic""",marine indet.,
120370,16.299999,78.339996,1,Ladinian,,242,237,SJ,,,,,"""siliciclastic""",marine indet.,
120371,14.5,78.550003,1,Ladinian,,242,237,SJ,,,,,"""siliciclastic""",marine indet.,
120372,14.43,78.620003,4,Smithian,,251.3,247.2,SJ,Kongressfjellet,,Sticky Keep,,"""shale""",marine indet.,
120373,16.6,78.305,1,Spathian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120374,16.59,78.370003,1,Spathian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120375,16.299999,78.339996,3,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120376,15.32,78.57,1,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120377,14.43,78.620003,1,Smithian,,251.3,247.2,SJ,,,,,"""siliciclastic""",marine indet.,
120378,107.129997,23.6,4,Spathian,,251.3,247.2,CN,Luolou,,,,lime mudstone,shallow subtidal indet.,
120386,83.931,28.715,14,Changhsingian,,254.17,252.17,NP,Senja,Namlang,Ngawal,,siltstone,coastal indet.,
120387,84.061996,28.684,6,Changhsingian,,254.17,252.17,NP,Senja,Namlang,Galte,,sandstone,coastal indet.,
120411,84.056,28.667999,3,Changhsingian,,254.17,252.17,NP,Senja,Namlang,Galte,,sandstone,coastal indet.,
120412,84.054001,28.666,1,Changhsingian,,254.17,252.17,NP,Senja,Namlang,Pija,,sandstone,coastal indet.,
120413,84.049004,28.667,2,Changhsingian,,254.17,252.17,NP,Senja,Namlang,Pija,,sandstone,coastal indet.,
120414,83.942001,28.709999,6,Changhsingian,,254.17,252.17,NP,Senja,Namlang,Ngawal,,siltstone,coastal indet.,
120415,83.942001,28.709999,4,Changhsingian,,254.17,252.17,NP,Senja,Namlang,Puchenpra,,sandstone,coastal indet.,
120420,168.800003,-46.450001,1,Wuchiapingian,Changhsingian,259.9,252.17,NZ,,Kuriwao,,,not reported,marine indet.,
120423,173.320007,-41.310001,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,"""limestone""",carbonate indet.,
120424,173.154999,-41.415001,1,Changhsingian,,254.17,252.17,NZ,Stephens,,,,"""limestone""",carbonate indet.,
120426,173.485001,-41.189999,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,"""limestone""",carbonate indet.,
120428,169.25,-46.099998,1,Wuchiapingian,,259.9,254.17,NZ,AG4,Arthurton,,,"""limestone""",carbonate indet.,
120429,169.25,-46.099998,1,Wuchiapingian,,259.9,254.17,NZ,AG4,Arthurton,,,"""limestone""",carbonate indet.,
120430,173.800003,-40.889999,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,"""limestone""",carbonate indet.,
120431,173.320007,-41.310001,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,"""limestone""",carbonate indet.,
120432,173.223999,-41.396999,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,"""limestone""",carbonate indet.,
120433,173.479996,-41.215,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,"""limestone""",carbonate indet.,
120434,168.149994,-44.5,1,Wuchiapingian,,259.9,254.17,NZ,Annear,,,,sandstone,marine indet.,
120435,168.149994,-44.549999,1,Wuchiapingian,,259.9,254.17,NZ,Annear,,,,sandstone,marine indet.,
120436,173.485001,-41.200001,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,sandstone,carbonate indet.,
120437,173.895004,-40.759998,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,sandstone,carbonate indet.,
120438,173.479996,-41.215,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,sandstone,carbonate indet.,
120439,173.485001,-41.189999,1,Wuchiapingian,,259.9,254.17,NZ,Tramway,,,,"""limestone""",carbonate indet.,
120440,168.149994,-44.66,1,Wuchiapingian,,259.9,254.17,NZ,Annear,,,,sandstone,carbonate indet.,
120441,173.520996,-41.103001,1,Changhsingian,,254.17,252.17,NZ,Stephens,,,,sandstone,carbonate indet.,
120442,173.949997,-40.75,1,Wuchiapingian,,259.9,254.17,NZ,Greville,,,,sandstone,marine indet.,
120443,83.360001,28.92,8,Changhsingian,,254.17,252.17,NP,Senja,,,,"""limestone""",coastal indet.,
120444,83.360001,28.92,2,Changhsingian,,254.17,252.17,NP,Senja,,,,"""limestone""",coastal indet.,
120445,83.419998,29.1,1,Changhsingian,,254.17,252.17,NP,Senja,,,,"""limestone""",coastal indet.,
120446,83.419998,29.1,3,Changhsingian,,254.17,252.17,NP,Senja,,,,"""limestone""",carbonate indet.,
120447,82.599998,29.549999,1,Changhsingian,,254.17,252.17,NP,Senja,,,,"""limestone""",carbonate indet.,
120448,82.599998,29.549999,1,Changhsingian,,254.17,252.17,NP,Senja,,,,"""shale""",marine indet.,
120449,83.160004,29.15,6,Changhsingian,,254.17,252.17,NP,Senja,,,,sandstone,marine indet.,
120450,83.099998,28.93,1,Changhsingian,,254.17,252.17,NP,Senja,,,,"""shale""",marine indet.,
120451,83.355003,28.879999,1,Changhsingian,,254.17,252.17,NP,Senja,,,,"""limestone""",carbonate indet.,
120452,83.360001,28.92,5,Changhsingian,,254.17,252.17,NP,Senja,,,,not reported,marine indet.,
120490,83,29.450001,4,Changhsingian,,254.17,252.17,NP,Senja,Namlang,Luri,,"""siliciclastic""",marine indet.,
120508,84.050003,28.68,19,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120509,84.050003,28.68,5,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120510,84.050003,28.68,1,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120511,84.050003,28.68,5,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120512,84.050003,28.68,1,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120513,84.050003,28.68,6,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120514,84.050003,28.68,1,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120515,84.050003,28.68,1,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120516,84.050003,28.68,3,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120517,84.050003,28.68,8,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120518,84.050003,28.68,1,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120519,84.050003,28.68,11,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120520,84.050003,28.68,19,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120521,84.050003,28.68,10,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120522,84.050003,28.68,16,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120523,84.050003,28.68,3,Changhsingian,,254.17,252.17,NP,Senja,,Pija,,"""siliciclastic""",marine indet.,
120524,77.32,33.040001,1,Wuchiapingian,,259.9,254.17,IN,Gungri,,Testha Sandstone,,sandstone,marine indet.,
120525,77.18,33.174999,1,Wuchiapingian,,259.9,254.17,IN,Gungri,,Testha Sandstone,,sandstone,marine indet.,
120569,114.949997,-23.895,2,Wuchiapingian,,259.9,254.17,AU,Hardman,,Cherrabun,,"""siliciclastic""",marine indet.,
120586,124.644997,-18.309999,1,Wuchiapingian,,259.9,254.17,AU,Hardman,,Cherrabun,,"""siliciclastic""",coastal indet.,
120609,125.5,-19.200001,1,Wuchiapingian,,259.9,254.17,AU,Hardman,,,,"""siliciclastic""",marine indet.,
120618,16.549999,78.32,1,Spathian,,251.3,247.2,SJ,,,,Keyserlingites subrobustus,not reported,marine indet.,
120631,106.919998,28.959999,1,Griesbachian,,252.17,251.3,CN,Feixianguan,,,,not reported,marine indet.,
120632,106.449997,30.129999,2,Griesbachian,,252.17,251.3,CN,Feixianguan,,,,not reported,marine indet.,
120633,103.421997,29.575001,5,Spathian,,251.3,247.2,CN,Jialingjiang,,,,not reported,marine indet.,
120634,103.421997,29.575001,3,Dienerian,,252.17,251.3,CN,Feixianguan,,,,not reported,marine indet.,
120635,104.660004,29.525,2,Anisian,,247.2,242,CN,Leikoupo,,,,not reported,marine indet.,
120639,168.784775,-46.463139,2,Wuchiapingian,,259.9,254.17,NZ,Pine Bush,Kuriwao,,,"""limestone""",carbonate indet.,
120640,169.159286,-46.083969,1,Wuchiapingian,,259.9,254.17,NZ,AG4,Arthurton,,Plekonella multicostata,siltstone,marine indet.,
120641,173.130417,-41.407169,1,Changhsingian,,254.17,252.17,NZ,Stephens,,,Aperispirifer nelsonensis,"""limestone""",marine indet.,
120749,107.699997,22.42,2,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",open shallow subtidal,
120750,106.449997,29.799999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120751,107.699997,22.42,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",open shallow subtidal,
120752,106.449997,29.799999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120753,112.370003,24.780001,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,not reported,marine indet.,
120754,120,31,4,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120755,107.699997,22.42,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",open shallow subtidal,
120756,112.949997,25.4,2,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120757,104.220001,31.33,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
120758,108.860001,23.700001,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",open shallow subtidal,
120759,108.860001,23.700001,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",open shallow subtidal,
120760,120.5,31.25,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",open shallow subtidal,
120761,106.449997,29.799999,3,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120762,113,25.77,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""siliciclastic""",coastal indet.,
120766,106.927002,33.097,2,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
120767,106.927002,33.097,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
120768,106.924004,33.074001,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
120769,106.932999,33.07,3,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
120770,106.932999,33.07,2,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
120771,106.932999,33.07,2,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
120772,106.932999,33.07,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
120775,113.900002,29.700001,1,Griesbachian,,252.17,251.3,CN,Daye,,,,not reported,marine indet.,
120776,119.988998,30.922001,1,Changhsingian,,254.17,252.17,CN,Yinkeng,,,,"""limestone""",marine indet.,
120777,119.988998,30.922001,2,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,not reported,marine indet.,
120778,106.849998,30.299999,1,Griesbachian,,252.17,251.3,CN,Daye,,,,not reported,marine indet.,
120779,117.650002,25.4,1,Changhsingian,,254.17,252.17,CN,Yanshi,,,,"""siliciclastic""",marine indet.,
120780,105.925003,25.334999,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""siliciclastic""",marine indet.,
120781,106.879997,28.950001,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120782,114,24,1,Wuchiapingian,,259.9,254.17,CN,Wangpanli,,,,"""siliciclastic""",marine indet.,
120783,106.404999,29.485001,5,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120784,106.404999,29.485001,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,not reported,marine indet.,
120785,119.705002,31.08,2,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120786,119.705002,31.08,2,Griesbachian,,252.17,251.3,CN,Yinkeng,,,,"""limestone""",carbonate indet.,
120787,112.800003,25.325001,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,not reported,marine indet.,
120788,109.275002,23.6,5,Changhsingian,,254.17,252.17,CN,Paoshui,,,,not reported,marine indet.,
120789,109.192001,23.414,1,Changhsingian,,254.17,252.17,CN,Dalong,,,,"""siliciclastic""",marine indet.,
120790,105.467003,32.330002,2,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120791,115.099998,30.174999,2,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120792,115.099998,30.174999,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,not reported,marine indet.,
120793,106.449997,30.129999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120794,117.169998,25.264999,2,Wuchiapingian,,259.9,254.17,CN,Cuipingshan,,,,"""siliciclastic""",marine indet.,
120795,117.169998,25.264999,4,Changhsingian,,254.17,252.17,CN,Yanshi,,,,"""siliciclastic""",marine indet.,
120796,106.889999,28.91,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120797,106.889999,28.91,6,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
120799,110.839996,28.950001,2,Changhsingian,,254.17,252.17,CN,Daluokeng,,2,,packstone,shallow subtidal indet.,
120800,111.120003,29.42,1,Changhsingian,,254.17,252.17,CN,Daluokeng,,2,,"""limestone""",shallow subtidal indet.,
120801,111.120003,29.42,1,Changhsingian,,254.17,252.17,CN,Daluokeng,,1,,"""limestone""",shallow subtidal indet.,
120802,111.120003,29.42,1,Changhsingian,,254.17,252.17,CN,Daluokeng,,1,,"""limestone""",shallow subtidal indet.,
120803,114.230003,29.41,1,Changhsingian,,254.17,252.17,CN,Daluokeng,,1,,"""limestone""",shallow subtidal indet.,
120804,111.644997,28.075001,2,Changhsingian,,254.17,252.17,CN,Daluokeng,,1,,"""limestone""",shallow subtidal indet.,
120805,110.839996,29.68,1,Changhsingian,,254.17,252.17,CN,Daluokeng,,1,,"""limestone""",shallow subtidal indet.,
120806,114.519997,29.030001,1,Wuchiapingian,,259.9,254.17,CN,Xiamidong,,2,,"""limestone""",shallow subtidal indet.,
120807,114.519997,29.030001,1,Wuchiapingian,,259.9,254.17,CN,Xiamidong,,2,,"""limestone""",shallow subtidal indet.,
120808,110.910004,29.43,1,Wuchiapingian,,259.9,254.17,CN,Xiamidong,,2,,"""limestone""",carbonate indet.,
120809,113.93,29.715,17,Changhsingian,,254.17,252.17,CN,Dalong,,,,"""shale""",marine indet.,
120831,56.033333,25.683332,1,Norian,,228,208.5,AE,Ghalilah,Elphinstone,,,"""limestone""",offshore shelf,
120833,78.23333,32.083332,1,Norian,,228,208.5,IN,Nunuluka,Lilang,,,"""limestone""",open shallow subtidal,
120878,89.985001,30.735001,3,Wuchiapingian,,259.9,254.17,CN,Mujiucuo,,,,"""limestone""",shallow subtidal indet.,
120895,-85.68,81.057999,5,Wuchiapingian,,259.9,254.17,CA,Degerböls,,,,"""siliciclastic""",marine indet.,
120896,-22.42,74.199997,10,Griesbachian,,252.17,251.3,GL,,,,,"""siliciclastic""",marine indet.,
120900,29.620001,40.880001,1,Dienerian,,252.17,251.3,TR,,,,Neospathodus cristagalli,not reported,marine indet.,
120901,9.3,46.02,16,Longobardian,,242,235,IT,Perledo-Varenna,,Perledo,,"""limestone""",marine indet.,
120902,13.85,46.400002,1,Tuvalian,,232,221.5,SI,,,,,lime mudstone,carbonate indet.,
120903,31.85,37.400002,3,Longobardian,,242,235,TR,Tarasci,,,,lime mudstone,carbonate indet.,
120927,18.4,54.759998,4,Wuchiapingian,,259.9,254.17,PL,Zechstein,,Upper Werra Anhydrite,,packstone,lagoonal/restricted shallow subtidal,
120932,9.77,49,2,Lacian,,221.5,215.56,DE,,,,,marl,coastal indet.,
120933,45.369999,-21.59,1,Dienerian,,252.17,251.3,MG,Middle Sakamena,Sakamena,,,"""siliciclastic""",coastal indet.,
120935,24.799999,35.400002,1,Norian,,228,208.5,GR,Talea Ori,,,,dolomite,carbonate indet.,
120942,102.294998,5.0005,8,Wuchiapingian,,259.9,254.17,MY,Aring,,,,mudstone,marine indet.,
120944,102.320999,4.865,1,Late Triassic,,237,201.3,MY,,,,,mudstone,marine indet.,
120982,-111.449997,42.915001,4,Spathian,,251.3,247.2,US,Thaynes,,,,"""mixed carbonate-siliciclastic""",marine indet.,
120983,-111.449997,42.915001,2,Spathian,,251.3,247.2,US,Thaynes,,,,"""limestone""",carbonate indet.,
120984,-111.449997,42.915001,1,Olenekian,,251.2,247.2,US,Thaynes,,,,sandstone,marine indet.,
120985,-111.449997,42.915001,5,Smithian,,251.3,247.2,US,Thaynes,,,,"""limestone""",carbonate indet.,
120986,-111.43,42.700001,2,Smithian,,251.3,247.2,US,Thaynes,,,,"""limestone""",carbonate indet.,
120987,-111.709999,42.919998,2,Olenekian,,251.2,247.2,US,Thaynes,,,,sandstone,marine indet.,
121004,106.150002,25.1,5,Wuchiapingian,,259.9,254.17,CN,Shaiwa,,,,mudstone,deep-water indet.,
121005,106.150002,25.1,10,Changhsingian,,254.17,252.17,CN,Shaiwa,,,,mudstone,deep-water indet.,
121006,106.150002,25.610001,21,Wuchiapingian,,259.9,254.17,CN,Shaiwa,,,,mudstone,deep-water indet.,
121007,106.150002,25.610001,31,Changhsingian,,254.17,252.17,CN,Shaiwa,,,,mudstone,deep-water indet.,
121010,106.849998,30.299999,3,Changhsingian,,254.17,252.17,CN,Changxing,,,,mudstone,carbonate indet.,
121011,106.849998,30.299999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121012,106.849998,30.299999,2,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121013,106.849998,30.299999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121014,106.849998,30.299999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121015,106.849998,30.299999,8,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121016,106.849998,30.299999,4,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121017,106.849998,30.299999,2,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121018,106.849998,30.299999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121019,106.849998,30.299999,7,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121020,106.849998,30.299999,4,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121021,106.849998,30.299999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121022,106.849998,30.299999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121023,106.849998,30.299999,4,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121024,106.849998,30.299999,3,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121025,106.849998,30.299999,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""shale""",marine indet.,
121026,106.849998,30.299999,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""shale""",marine indet.,
121027,106.849998,30.299999,3,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""shale""",marine indet.,
121028,106.849998,30.299999,4,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""mixed carbonate-siliciclastic""",marine indet.,
121029,106.849998,30.299999,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""limestone""",carbonate indet.,
121030,106.849998,30.299999,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""limestone""",carbonate indet.,
121031,106.849998,30.299999,5,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""limestone""",carbonate indet.,
121032,106.849998,30.299999,3,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,mudstone,marine indet.,
121033,106.849998,30.299999,5,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,siltstone,marine indet.,
121034,106.849998,30.299999,4,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""limestone""",carbonate indet.,
121035,106.849998,30.299999,4,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""shale""",marine indet.,
121036,106.849998,30.299999,2,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""limestone""",carbonate indet.,
121042,-3.016667,39.683334,1,Ladinian,,242,237,ES,,,,,"""carbonate""",shallow subtidal indet.,
121043,-1.233333,40.150002,2,Ladinian,,242,237,ES,,,,,"""carbonate""",shallow subtidal indet.,
121044,-1.233333,40.150002,5,Ladinian,,242,237,ES,,,,,"""carbonate""",shallow subtidal indet.,
121045,-2.416667,38.483334,1,Ladinian,,242,237,ES,,,,,"""carbonate""",shallow subtidal indet.,
121047,-1.483333,37.416668,2,Longobardian,,242,235,ES,,,,,"""siliciclastic""",platform/shelf-margin reef,
121055,108.870003,23.82,1,Wuchiapingian,,259.9,254.17,CN,Heshan,,,,"""limestone""",carbonate indet.,
121056,113.57,25,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""siliciclastic""",marine indet.,
121059,109.724998,30.6,3,Wuchiapingian,Changhsingian,259.9,252.17,CN,,,,,not reported,marine indet.,
121060,109.724998,30.6,2,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
121062,112.400002,24.799999,5,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""siliciclastic""",marine indet.,
121063,112.400002,24.799999,2,Wuchiapingian,Changhsingian,259.9,252.17,CN,,,,,"""siliciclastic""",marine indet.,
121064,112.400002,24.799999,2,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""siliciclastic""",marine indet.,
121066,112.400002,24.799999,4,Wuchiapingian,Changhsingian,259.9,252.17,CN,,,,,not reported,marine indet.,
121068,109.459999,29.58,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
121069,113.860001,23.139999,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""siliciclastic""",marine indet.,
121072,111.199997,30.459999,1,Wuchiapingian,Changhsingian,259.9,252.17,CN,,,,,not reported,marine indet.,
121076,106.360001,23.219999,1,Wuchiapingian,,259.9,254.17,CN,Heshan,,,,"""limestone""",carbonate indet.,
121077,111.459999,30.07,1,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
121079,111.290001,30.700001,1,Wuchiapingian,Changhsingian,259.9,252.17,CN,,,,,not reported,marine indet.,
121083,110.910004,30.629999,1,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121087,113.599998,24.700001,1,Wuchiapingian,Changhsingian,259.9,252.17,CN,,,,,not reported,marine indet.,
121089,113.580002,24.82,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""siliciclastic""",marine indet.,
121091,112.910004,25.450001,5,Changhsingian,,254.17,252.17,CN,Changxing,,,,"""limestone""",carbonate indet.,
121092,105.339996,26.09,1,Changhsingian,,254.17,252.17,CN,Dalong,,,,"""siliciclastic""",marine indet.,
121093,111.480003,30.129999,2,Wuchiapingian,,259.9,254.17,CN,Wujiaping,,,,"""limestone""",carbonate indet.,
121098,108.25,23.15,1,Wuchiapingian,,259.9,254.17,CN,Heshan,,,,"""limestone""",carbonate indet.,
121099,112.349998,24.799999,1,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,"""siliciclastic""",marine indet.,
121100,109.150002,29.700001,1,Wuchiapingian,Changhsingian,259.9,252.17,CN,,,,,not reported,marine indet.,
