collection_no,lng,lat,n_occs,early_interval,late_interval,max_ma,min_ma,cc,formation,stratgroup,member,zone,lithology1,environment,collection_size
195846,53.05389,52.211109,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195849,53.094166,52.291668,4,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195850,53.081669,52.299168,3,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195851,53.081669,52.299168,1,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195852,53.081669,52.299168,2,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,"""channel""",
195865,53.117222,52.309723,2,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,"""channel""",
195866,53.062222,52.316666,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,deltaic indet.,
195867,52.961388,52.324165,2,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,"""channel""",
195868,52.961388,52.324165,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195869,52.950279,52.330833,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195870,52.952221,52.389999,2,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,deltaic indet.,
195871,52.952221,52.389999,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195872,52.714722,52.362221,3,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195873,52.690834,52.369999,3,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,"""channel""",
195874,52.690834,52.369999,3,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195875,52.68528,52.400555,1,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195876,52.656944,52.387501,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195877,52.46389,52.439999,1,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,deltaic indet.,
195878,52.456112,52.395,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195879,52.44611,52.381111,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195880,52.42889,52.375,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195896,106.300003,24.4,2,Griesbachian,,252.17,251.3,CN,Luolou,,,,mudstone,deep subtidal indet.,
195897,106.300003,24.4,4,Griesbachian,,252.17,251.3,CN,Luolou,,,,mudstone,deep subtidal indet.,
195898,106.300003,24.4,4,Griesbachian,,252.17,251.3,CN,Luolou,,,,mudstone,deep subtidal indet.,
195899,106.300003,24.4,2,Griesbachian,,252.17,251.3,CN,Luolou,,,,siltstone,deep subtidal indet.,
195900,106.300003,24.4,3,Griesbachian,,252.17,251.3,CN,Luolou,,,,mudstone,deep subtidal indet.,
195901,106.300003,24.4,5,Griesbachian,,252.17,251.3,CN,Luolou,,,,mudstone,deep subtidal indet.,
